Binomial,ID,Group,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
SHO,11,Sharks and Rays,576051.7153,587112.2428,595160.9577,600690.7847,605311.2328,611155.0033,613976.7755,616289.5427,619923.0498,621303.0415,621436.5971,623877.6553,623352.4413,624831.2681,625524.7432,629033.3055,626955.1655,625224.3744,624745.4921,625214.9971,625393.0605,626146.1081,626313.3178,626511.4008,626410.9013,625485.1573,622693.8671,621263.8245,619601.2786,620169.0123,619045.1619,617390.297,615638.7323,616076.5593,615083.0617
SHO1,12,Sharks and Rays,576051.7153,587112.2428,595160.9577,600690.7847,605311.2328,611155.0033,613976.7755,616289.5427,619923.0498,621303.0415,621436.5971,623877.6553,623352.4413,624831.2681,625524.7432,629033.3055,626955.1655,625224.3744,624745.4921,625214.9971,625393.0605,626146.1081,626313.3178,626511.4008,626410.9013,625485.1573,622693.8671,621263.8245,619601.2786,620169.0123,619045.1619,617390.297,615638.7323,616076.5593,615083.0617
SHO2,13,Sharks and Rays,576051.7153,587112.2428,595160.9577,600690.7847,605311.2328,611155.0033,613976.7755,616289.5427,619923.0498,621303.0415,621436.5971,623877.6553,623352.4413,624831.2681,625524.7432,629033.3055,626955.1655,625224.3744,624745.4921,625214.9971,625393.0605,626146.1081,626313.3178,626511.4008,626410.9013,625485.1573,622693.8671,621263.8245,619601.2786,620169.0123,619045.1619,617390.297,615638.7323,616076.5593,615083.0617
DEO,14,Demersal Fish,1547764.88,1556519.269,1548823.471,1543010.205,1541780.714,1535004.977,1524093.599,1520569.218,1535606.231,1543207.497,1533271.051,1531817.896,1534882.17,1534997.228,1530684.187,1533780.235,1546300.976,1546882.064,1535108.866,1533899.309,1526832.198,1517105.817,1523885.566,1539846.754,1539991.042,1529451.574,1519168.931,1513140.789,1505092.022,1491355.155,1490543.212,1500469.449,1495342.91,1484799.969,1479492.834
DEO1,15,Demersal Fish,1547764.88,1556519.269,1548823.471,1543010.205,1541780.714,1535004.977,1524093.599,1520569.218,1535606.231,1543207.497,1533271.051,1531817.896,1534882.17,1534997.228,1530684.187,1533780.235,1546300.976,1546882.064,1535108.866,1533899.309,1526832.198,1517105.817,1523885.566,1539846.754,1539991.042,1529451.574,1519168.931,1513140.789,1505092.022,1491355.155,1490543.212,1500469.449,1495342.91,1484799.969,1479492.834
PEL,16,Pelagic Fish,90300.68733,91043.43056,92961.44371,93565.05386,94734.14774,94590.54974,93586.56781,92607.11369,94057.60086,94348.49862,92588.28826,90420.52068,89704.69987,89323.48506,89111.22181,89547.93468,89965.39468,89373.39252,89420.43572,89014.74507,90113.94897,91341.95936,88954.56082,88557.07365,88309.82087,88088.62563,87644.21492,87462.3533,89350.50197,91588.29231,91157.91574,90982.30907,91480.9083,91035.57079,90543.36861
PES,17,Pelagic Fish,454283.3105,456538.9417,458660.7562,460544.9304,462595.5849,464314.5349,465201.7119,465871.8727,465222.2454,465491.6298,462940.3432,460629.2102,458430.055,456823.6355,455345.0995,455164.7057,454773.3522,453664.1583,453188.9939,452341.025,453048.4423,451207.3259,449015.5455,447577.9193,446258.9584,444786.9092,444388.5497,443327.0828,445976.7526,449615.2681,451410.1629,454454.607,456024.3617,457130.5429,457142.5477
PES1,18,Pelagic Fish,454283.3105,456538.9417,458660.7562,460544.9304,462595.5849,464314.5349,465201.7119,465871.8727,465222.2454,465491.6298,462940.3432,460629.2102,458430.055,456823.6355,455345.0995,455164.7057,454773.3522,453664.1583,453188.9939,452341.025,453048.4423,451207.3259,449015.5455,447577.9193,446258.9584,444786.9092,444388.5497,443327.0828,445976.7526,449615.2681,451410.1629,454454.607,456024.3617,457130.5429,457142.5477
REO,19,Demersal Fish,1180028.83,1171630.385,1137867.443,1109924.897,1094310.006,1096302.389,1085719.19,1109613.952,1121196.944,1114687.832,1088815.384,1065536.153,1047676.192,1057518.704,1072016.536,1092980.06,1077586.238,1049180.362,1054528.976,1067961.549,1065771.597,1064871.237,1076692.869,1063461.014,1057455.535,1045928.437,1037081.289,1040680.5,1027288.448,1032955.294,1070378.498,1051738.05,1052350.852,1065966.665,1078401.19
DEL,20,Demersal Fish,63997.42849,63928.53158,63649.0272,63116.69547,63200.69673,63337.37175,63325.63176,63334.98779,62995.59096,63116.91521,62227.37732,61574.2243,61161.33172,61197.74578,61238.62101,61165.79437,60935.51962,60737.30808,60735.77699,60512.94161,61332.50222,61134.55122,60727.40604,60343.60385,60189.63185,60066.35046,60003.19212,59925.63547,60648.63713,61201.63125,61309.19734,61059.40572,61463.12272,61471.85025,61305.0337
DEL1,21,Demersal Fish,63997.42849,63928.53158,63649.0272,63116.69547,63200.69673,63337.37175,63325.63176,63334.98779,62995.59096,63116.91521,62227.37732,61574.2243,61161.33172,61197.74578,61238.62101,61165.79437,60935.51962,60737.30808,60735.77699,60512.94161,61332.50222,61134.55122,60727.40604,60343.60385,60189.63185,60066.35046,60003.19212,59925.63547,60648.63713,61201.63125,61309.19734,61059.40572,61463.12272,61471.85025,61305.0337
DEL2,22,Demersal Fish,63997.42849,63928.53158,63649.0272,63116.69547,63200.69673,63337.37175,63325.63176,63334.98779,62995.59096,63116.91521,62227.37732,61574.2243,61161.33172,61197.74578,61238.62101,61165.79437,60935.51962,60737.30808,60735.77699,60512.94161,61332.50222,61134.55122,60727.40604,60343.60385,60189.63185,60066.35046,60003.19212,59925.63547,60648.63713,61201.63125,61309.19734,61059.40572,61463.12272,61471.85025,61305.0337
DEL3,23,Demersal Fish,63997.42849,63928.53158,63649.0272,63116.69547,63200.69673,63337.37175,63325.63176,63334.98779,62995.59096,63116.91521,62227.37732,61574.2243,61161.33172,61197.74578,61238.62101,61165.79437,60935.51962,60737.30808,60735.77699,60512.94161,61332.50222,61134.55122,60727.40604,60343.60385,60189.63185,60066.35046,60003.19212,59925.63547,60648.63713,61201.63125,61309.19734,61059.40572,61463.12272,61471.85025,61305.0337
DEL4,24,Demersal Fish,63997.42849,63928.53158,63649.0272,63116.69547,63200.69673,63337.37175,63325.63176,63334.98779,62995.59096,63116.91521,62227.37732,61574.2243,61161.33172,61197.74578,61238.62101,61165.79437,60935.51962,60737.30808,60735.77699,60512.94161,61332.50222,61134.55122,60727.40604,60343.60385,60189.63185,60066.35046,60003.19212,59925.63547,60648.63713,61201.63125,61309.19734,61059.40572,61463.12272,61471.85025,61305.0337
FLA,25,Demersal Fish,89840.23912,89959.78983,89926.89735,89696.86677,89548.643,89521.95517,89297.08503,89179.05928,88841.21266,88735.96193,88105.80589,87574.20854,87267.08032,87120.4834,87017.43437,86921.65558,86806.48117,86694.42502,86476.21719,86380.13785,86670.03518,86397.54338,86122.10775,86081.96028,86149.54228,86124.53476,86293.48754,86306.75079,86815.95076,87315.1687,87600.9139,87931.96015,88094.36874,88219.06038,88284.50664
FLA1,26,Demersal Fish,89840.23912,89959.78983,89926.89735,89696.86677,89548.643,89521.95517,89297.08503,89179.05928,88841.21266,88735.96193,88105.80589,87574.20854,87267.08032,87120.4834,87017.43437,86921.65558,86806.48117,86694.42502,86476.21719,86380.13785,86670.03518,86397.54338,86122.10775,86081.96028,86149.54228,86124.53476,86293.48754,86306.75079,86815.95076,87315.1687,87600.9139,87931.96015,88094.36874,88219.06038,88284.50664
FLA2,27,Demersal Fish,89840.23912,89959.78983,89926.89735,89696.86677,89548.643,89521.95517,89297.08503,89179.05928,88841.21266,88735.96193,88105.80589,87574.20854,87267.08032,87120.4834,87017.43437,86921.65558,86806.48117,86694.42502,86476.21719,86380.13785,86670.03518,86397.54338,86122.10775,86081.96028,86149.54228,86124.53476,86293.48754,86306.75079,86815.95076,87315.1687,87600.9139,87931.96015,88094.36874,88219.06038,88284.50664
LRD,28,Demersal Fish,515522.7125,515223.6522,512631.3658,506435.0966,500364.687,493263.8439,485291.2799,478514.7138,478063.0673,476984.7923,477322.6086,480076.3857,481551.7569,481443.6221,480304.7151,480432.859,481481.3063,479204.9664,475097.4831,471636.5168,466916.4961,462455.3682,461274.2158,462712.8926,462792.1639,462315.3906,459690.1587,456796.5355,453003.7615,448623.8002,447087.4031,447420.1668,446526.7349,445646.6491,446035.8458
SSK,29,Sharks and Rays,99275.17098,99352.40757,99736.8482,100246.1467,100829.851,101592.59,102304.7787,103141.6352,103992.3366,104770.1134,105244.7353,105941.5259,106354.6886,106702.1187,106920.4723,107076.8239,107261.7023,107359.1006,107427.1726,107485.9718,107613.3266,107471.1316,107650.5672,107946.5517,108160.723,108401.5374,108557.371,108564.9514,108637.6849,108498.9116,108437.4381,108657.906,108713.8466,108638.8004,108607.7287
SSK1,30,Sharks and Rays,99275.17098,99352.40757,99736.8482,100246.1467,100829.851,101592.59,102304.7787,103141.6352,103992.3366,104770.1134,105244.7353,105941.5259,106354.6886,106702.1187,106920.4723,107076.8239,107261.7023,107359.1006,107427.1726,107485.9718,107613.3266,107471.1316,107650.5672,107946.5517,108160.723,108401.5374,108557.371,108564.9514,108637.6849,108498.9116,108437.4381,108657.906,108713.8466,108638.8004,108607.7287
SSK2,31,Sharks and Rays,99275.17098,99352.40757,99736.8482,100246.1467,100829.851,101592.59,102304.7787,103141.6352,103992.3366,104770.1134,105244.7353,105941.5259,106354.6886,106702.1187,106920.4723,107076.8239,107261.7023,107359.1006,107427.1726,107485.9718,107613.3266,107471.1316,107650.5672,107946.5517,108160.723,108401.5374,108557.371,108564.9514,108637.6849,108498.9116,108437.4381,108657.906,108713.8466,108638.8004,108607.7287
SSK3,32,Sharks and Rays,99275.17098,99352.40757,99736.8482,100246.1467,100829.851,101592.59,102304.7787,103141.6352,103992.3366,104770.1134,105244.7353,105941.5259,106354.6886,106702.1187,106920.4723,107076.8239,107261.7023,107359.1006,107427.1726,107485.9718,107613.3266,107471.1316,107650.5672,107946.5517,108160.723,108401.5374,108557.371,108564.9514,108637.6849,108498.9116,108437.4381,108657.906,108713.8466,108638.8004,108607.7287
SSK4,33,Sharks and Rays,99275.17098,99352.40757,99736.8482,100246.1467,100829.851,101592.59,102304.7787,103141.6352,103992.3366,104770.1134,105244.7353,105941.5259,106354.6886,106702.1187,106920.4723,107076.8239,107261.7023,107359.1006,107427.1726,107485.9718,107613.3266,107471.1316,107650.5672,107946.5517,108160.723,108401.5374,108557.371,108564.9514,108637.6849,108498.9116,108437.4381,108657.906,108713.8466,108638.8004,108607.7287
SSK5,34,Sharks and Rays,99275.17098,99352.40757,99736.8482,100246.1467,100829.851,101592.59,102304.7787,103141.6352,103992.3366,104770.1134,105244.7353,105941.5259,106354.6886,106702.1187,106920.4723,107076.8239,107261.7023,107359.1006,107427.1726,107485.9718,107613.3266,107471.1316,107650.5672,107946.5517,108160.723,108401.5374,108557.371,108564.9514,108637.6849,108498.9116,108437.4381,108657.906,108713.8466,108638.8004,108607.7287
SSK6,35,Sharks and Rays,99275.17098,99352.40757,99736.8482,100246.1467,100829.851,101592.59,102304.7787,103141.6352,103992.3366,104770.1134,105244.7353,105941.5259,106354.6886,106702.1187,106920.4723,107076.8239,107261.7023,107359.1006,107427.1726,107485.9718,107613.3266,107471.1316,107650.5672,107946.5517,108160.723,108401.5374,108557.371,108564.9514,108637.6849,108498.9116,108437.4381,108657.906,108713.8466,108638.8004,108607.7287
MES,36,Pelagic Fish,4263025.071,4302424.007,4331100.836,4156941.643,4243658.329,4130975.403,4161873.589,4077614.729,4137097.192,4174987.084,4266681.1,4251764.849,4335660.99,4355866.965,4302995.448,4450728.421,4461489.221,4370136.078,4463375.882,4415227.936,4163473.066,4280219.606,4342924.952,4287329.407,4315491.327,4273015.25,4184830.372,4211280.036,4113429.484,3934111.802,3974178.589,3898783.147,3809802.165,3824191.75,3834830.38
MES1,37,Pelagic Fish,4263025.071,4302424.007,4331100.836,4156941.643,4243658.329,4130975.403,4161873.589,4077614.729,4137097.192,4174987.084,4266681.1,4251764.849,4335660.99,4355866.965,4302995.448,4450728.421,4461489.221,4370136.078,4463375.882,4415227.936,4163473.066,4280219.606,4342924.952,4287329.407,4315491.327,4273015.25,4184830.372,4211280.036,4113429.484,3934111.802,3974178.589,3898783.147,3809802.165,3824191.75,3834830.38
GRH,38,Demersal Fish,281920.9341,284700.9039,284639.6249,283953.708,281895.6234,280545.3531,278440.2134,276966.0945,277182.8043,278334.1545,277439.9651,277075.068,276651.273,276677.0575,276635.5273,276569.785,275808.471,273926.2995,271514.9792,268859.5576,269750.8807,270134.3201,269954.8808,271061.172,271888.3522,272101.9092,271042.9269,269600.0563,269009.348,268655.3143,268775.9496,270304.3763,272257.5524,273878.421,274789.2849
MAC,39,Pelagic Fish,2485751.09,2425056.168,2403141.066,2359278.685,2425317.033,2397890.344,2409017.959,2484381.001,2743203.266,2750818.533,2215814.849,2172898.749,2133307.515,2086441.48,2049453.162,2081055.114,2111870.728,2065834.778,2108483.774,2133501.932,2385110.874,2560522.651,2483435.118,2170439.787,2156351.68,2144428.391,2103524.363,2137055.17,2382242.852,2430325.129,2344522.425,2398442.193,2416132.843,2455349.501,2369718.678
HAD,40,Demersal Fish,8072676.678,8131293.548,8146352.509,8126730.154,8126077.1,8135282.639,8122348.389,8109348.787,8119773.426,8127489.553,8135588.683,8118396.008,8116192.064,8138516.645,8159671.175,8129464.815,8094740.662,8078100.579,8033971.302,8026017.583,7983208.022,7947007.496,7926252.375,7889852.351,7869062.68,7859808.103,7803167.021,7752951.529,7688882.505,7642573.255,7608969.738,7563617.653,7525328.858,7508891.025,7521126.592
SAI,41,Pelagic Fish,1318656.098,1338491.881,1360670.911,1339468.961,1354547.454,1358644.409,1346547.967,1343520.781,1334380.86,1318228.052,1304567.69,1291576.109,1272890.684,1260292.297,1260063.867,1262729.957,1277444.025,1279756.905,1282977.828,1282290.898,1286103.51,1282590.927,1277313.315,1277899.571,1274571.751,1271809.135,1267359.323,1261884.689,1262433.399,1270077.345,1271801.346,1247053.307,1269789.8,1272691.245,1280646.107
RED,42,Demersal Fish,556726.2892,554216.2409,577173.2732,589110.1441,584719.0384,561858.4602,545512.4328,576771.3365,579620.775,589996.1338,645873.9961,666759.2861,664198.2817,674115.4387,702194.122,695172.5712,720553.6905,737696.8194,758092.6545,750879.8961,709065.7174,761540.8713,801744.1843,798597.0912,796865.1412,785729.1274,764985.7443,791043.7655,755694.5212,729967.3906,752161.7077,682446.4052,673690.8779,666973.3871,717738.6751
BWH,43,Pelagic Fish,899409.2633,893445.4652,898395.9649,890202.7415,894297.9279,896097.3143,891022.5735,895306.7363,891732.3407,891763.1773,894937.7291,894896.0827,888093.7665,880713.7845,883960.127,884970.8899,883007.4324,883843.6859,883701.4218,878849.5334,892234.8197,891370.5404,884749.7386,885300.3261,892692.9961,891703.7351,886034.8944,882637.7526,888530.0368,892569.8318,895545.468,889212.1013,894006.5688,901889.583,904414.9431
SSH,44,Pelagic Fish,1545755.776,1571973.341,1575160.828,1593621.96,1609890.104,1572213.848,1565593.699,1582685.748,1605857.033,1584622.2,1602391.732,1615113.351,1587904.814,1579008.397,1586846.359,1604180.452,1594780.058,1593843.89,1589471.665,1601467.925,1598596.272,1591452.265,1600245.332,1577352.658,1568902.825,1574503.224,1562410.078,1552197.264,1541732.904,1542004.682,1544073.421,1554774.091,1551589.8,1544399.522,1551402.86
NCO,45,Demersal Fish,3027005.67,3065111.668,2933673.774,2852672.018,2792753.316,2819885.379,2861607.928,2829637.686,2879238.452,2977496.878,3061971.851,2930712.665,2918373.878,2889917.587,2902038.823,3059547.727,2953214.66,2845425.788,2956091.086,2896541.928,2884985.401,2976235.952,3035635.834,3136858.087,3300958.141,3224397.297,3112087.733,2834801.896,2689232.858,2819075.996,2734497.392,2773219.293,2799784.311,2850965.578,2939846.13
PCO,46,Demersal Fish,178199.5429,194179.7827,193188.8333,204207.733,204654.6011,207234.8412,211219.0903,214885.8435,207514.0927,191057.9437,171771.7739,168034.8443,162152.6824,160471.2209,165991.0224,168958.0792,165840.1517,165561.671,170637.4629,171609.9143,176340.9757,159522.0225,157891.307,168804.0309,178879.8064,186760.0113,186354.8622,186323.7288,187610.0191,179940.4417,176318.1966,163525.6178,170592.3306,169416.1864,175304.2562
CAP,47,Pelagic Fish,3196148.544,2087397.759,1588865.853,1966994.432,1359900.309,957276.9904,3342854.724,4349790.809,2109346.17,2246582.166,2919715.801,3270003.271,1683864.777,1561863.884,2866421.663,1731869.126,2146085.93,4196825.44,2953544.91,2354921.509,1815249.346,1485534.919,2401872.765,1497741.479,942072.8995,2166505.494,1643879.043,2526836.037,3443613.324,2116999.676,1200625.832,2196156.499,1619925.528,1028274.993,1122006.919
PWN,48,Invertebrate,36153374.14,76057228.94,39042976.62,31771975.27,101597093.5,37296011.14,40266997.28,47705215.96,40622881.93,45697972.96,76771238.76,83695306.64,104448451.3,98672874.49,119718526.9,80903363.6,83404712.59,97848512.21,83301784.41,109243100.5,46790033.02,57352342.27,94059581.69,96402689.48,74858429.02,86015511.44,79367281.6,85841093.92,45471793.94,68290627.99,61322719.74,48599754.09,60697337.72,61165317.43,79373451.83
CEP,49,Invertebrate,17917741.2,18559894.57,17404167.52,17115200.45,18538863,19612125.7,17992567.73,16866880.94,16298896.91,18259225.76,18646722.23,16875255.59,16261605.33,15087798.16,15655136.45,17852349.87,17591818.01,16172674.76,15674414.4,15523023.88,17421630.82,17928787.29,17002316.89,16876529.66,16713799.77,16578912.93,17012636.1,16946513.92,19410606.05,19887171.76,17779562.09,17754699.69,19993298.03,22194375.16,20163235.84
KCR,50,Invertebrate,17335739.63,18058571.31,19704746.84,23168061.64,29288018.88,36784181.8,41320456.57,45655339.75,47488900.28,48558532.75,51480154.11,58088688.69,73156316.59,100542428.7,135885719,164419518,184116245.3,195835510.4,115852074.7,75276927.37,59457524.02,54627615.35,51301819.23,50162047.66,49904105.48,50173729.5,50932245.45,50960196.9,50330920.65,50107043.42,50844021.87,50029840.91,49779713.74,49670480.72,49827212.62
SCR,51,Invertebrate,6325.070319,8552.861085,7444.862685,5488.545396,3969.856088,3012.338005,2507.569119,5105.092404,8624.0515,6653.651036,5165.969159,3554.168101,2826.715266,2616.129382,6122.722425,11240.12687,8902.384625,6832.097341,4730.130679,3420.767827,2929.396686,7094.783253,10592.53581,7945.172631,5748.38286,3781.964536,2777.889933,2495.023152,6206.965881,12281.11303,9620.553532,7164.430874,4728.233489,3290.183688,2800.665079
